filename,word_count,unique_words,ttr,lines,avg_word_length,most_common_words
text_1.txt,70,55,0.786,14,4.57,и:8; А:4; —:3
text_10.txt,140,102,0.729,38,5.06,—:11; страшно?:3; башни:3
text_11.txt,94,79,0.840,26,5.27,И:7; в:4; —:3
text_12.txt,275,208,0.756,87,4.96,—:9; И:7; не:6
text_13.txt,227,156,0.687,65,4.48,И:11; —:9; выбираю:7
text_14.txt,171,119,0.696,44,4.93,—:6; А:6; Старики:5
text_15.txt,162,111,0.685,37,5.20,в:8; —:7; И:4
text_16.txt,446,265,0.594,118,4.29,И:24; в:22; —:12
text_17.txt,138,113,0.819,34,4.28,И:6; Я:5; что:4
text_18.txt,534,315,0.590,107,4.39,И:18; как:16; в:15
text_19.txt,237,186,0.785,64,4.70,в:9; И:8; не:7
text_2.txt,239,148,0.619,53,4.15,И:17; —:15; в:8
text_20.txt,215,160,0.744,53,4.75,—:21; и:8; в:6
text_21.txt,117,70,0.598,32,5.07,есть:7; Где:7; —:5
text_22.txt,196,132,0.673,44,5.03,—:13; И:7; и:7
text_23.txt,214,152,0.710,68,5.61,И:5; растудыть,:5; в:5
text_24.txt,268,157,0.586,63,5.33,в:13; не:9; Славно,:8
text_25.txt,255,195,0.765,67,5.04,И:12; и:9; в:7
text_26.txt,132,92,0.697,40,4.64,что:5; по:4; в:4
text_27.txt,227,174,0.767,73,4.62,—:19; А:7; И:7
text_28.txt,337,241,0.715,77,4.52,—:26; я:9; и:8
text_29.txt,426,279,0.655,118,4.62,—:29; И:14; в:9
text_3.txt,205,90,0.439,47,5.07,по:24; морям,:20; и:9
text_30.txt,216,170,0.787,55,5.09,—:13; И:9; в:8
text_31.txt,209,167,0.799,54,5.31,—:8; И:7; Мимо:4
text_32.txt,353,254,0.720,102,4.73,—:24; в:9; что:7
text_33.txt,220,168,0.764,59,5.54,в:7; И:7; барабаны,:5
text_34.txt,220,153,0.695,67,5.02,левой,:12; —:11; не:8
text_35.txt,125,101,0.808,31,4.68,и:7; в:5; Я:4
text_36.txt,296,206,0.696,65,4.50,И:14; А:10; на:10
text_37.txt,319,220,0.690,88,4.69,—:15; И:15; не:10
text_38.txt,162,98,0.605,32,4.74,я:14; Когда:9; —:8
text_39.txt,452,311,0.688,129,4.98,—:14; в:11; Я:9
text_4.txt,336,234,0.696,52,4.97,в:17; И:13; и:8
text_40.txt,218,149,0.683,47,4.20,—:10; И:8; не:5
text_41.txt,331,236,0.713,99,4.98,—:16; в:16; И:6
text_42.txt,353,241,0.683,59,5.02,И:14; в:11; за:9
text_43.txt,260,204,0.785,76,5.16,И:7; —:7; и:7
text_44.txt,148,106,0.716,37,4.39,—:9; петух:8; И:6
text_45.txt,103,84,0.816,26,4.86,И:10; —:5; и:3
text_46.txt,113,79,0.699,22,4.86,И:5; на:3; спичек,:3
text_47.txt,132,95,0.720,34,4.63,о:6; на:5; в:5
text_48.txt,143,106,0.741,38,4.99,И:6; на:5; —:5
text_49.txt,259,178,0.687,73,5.17,—:16; И:7; А:7
text_5.txt,173,112,0.647,42,4.32,в:10; И:7; плывут,:6
text_50.txt,124,66,0.532,24,4.64,в:10; Серебряный:7; Бор,:7
text_51.txt,191,130,0.681,62,5.76,левой-правой,:8; взвод:6; —:6
text_52.txt,207,159,0.768,40,4.93,в:8; и:7; А:7
text_53.txt,68,43,0.632,17,4.46,И:4; как:3; наше:3
text_54.txt,144,85,0.590,37,4.67,Спи,:10; в:6; спи,:5
text_55.txt,52,47,0.904,18,4.50,В:4; в:2; и:2
text_56.txt,99,71,0.717,21,4.61,в:7; —:5; не:5
text_57.txt,102,74,0.725,24,5.02,—:6; в:5; бывают:4
text_58.txt,213,169,0.793,70,4.77,—:13; И:9; Он:6
text_59.txt,33,30,0.909,12,5.79,Ругают:2; Меня:2; не:2
text_6.txt,198,124,0.626,47,4.86,—:12; по:9; в:6
text_60.txt,69,51,0.739,17,5.16,И:4; в:4; —:3
text_61.txt,67,53,0.791,14,4.60,в:3; лошади:2; Но:2
text_62.txt,186,90,0.484,47,4.84,и:7; в:7; как:5
text_63.txt,79,69,0.873,19,4.62,—:4; не:3; на:2
text_64.txt,225,172,0.764,49,4.99,в:10; И:9; не:8
text_7.txt,137,113,0.825,34,5.28,—:7; и:5; Я:4
text_8.txt,174,108,0.621,41,4.29,И:10; в:8; А:7
text_9.txt,94,84,0.894,21,5.11,не:3; и:3; это:2
